Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Author Info
GenresFictionHistorical FictionSchoolLiteratureYoung AdultHistoricalRead For School ...more,"First published July 11, 1960",Harper Lee,To Kill a Mockingbird,4.26,"6,296,391 ratings","120,579 reviews",Harper Lee82 books13.7k followers
GenresClassicsFictionScience FictionDystopiaLiteraturePoliticsNovels ...more,"First published June 8, 1949",George Orwell,1984,4.19,"4,761,335 ratings","122,911 reviews","George Orwell1,404 books45.3k followers"
GenresFictionSchoolHistorical FictionRomanceLiteratureNovelsRead For School ...more,"First published April 10, 1925",F. Scott Fitzgerald,The Great Gatsby,3.93,"5,365,833 ratings","109,920 reviews","F. Scott Fitzgerald1,933 books24.2k followers"
GenresFantasyFictionYoung AdultMagicChildrensMiddle GradeAudiobook ...more,"First published June 26, 1997",J.K. Rowling,Harry Potter and the Sorcerer’s Stone,4.47,"10,332,287 ratings","167,714 reviews",J.K. Rowling754 books227k followers
GenresClassicsFictionDystopiaFantasySchoolLiteratureScience Fiction ...more,"First published August 17, 1945",George Orwell,Animal Farm,3.99,"4,006,287 ratings","102,011 reviews","George Orwell1,404 books45.3k followers"
GenresFantasyClassicsFictionAdventureYoung AdultHigh FantasyScience Fiction Fantasy ...more,"First published September 21, 1937",J.R.R. Tolkien,The Hobbit,4.29,"4,093,261 ratings","74,435 reviews",J.R.R. Tolkien549 books72.3k followers
GenresFictionFantasyChildrensFrancePhilosophyYoung AdultLiterature ...more,"First published April 6, 1943",Antoine de Saint-Exupéry,The Little Prince,4.33,"2,172,303 ratings","71,233 reviews","Antoine de Saint-Exupéry1,167 books8,113 followers"
GenresFictionScience FictionDystopiaClassicsSchoolLiteratureNovels ...more,"First published October 19, 1953",Ray Bradbury,Fahrenheit 451,3.96,"2,492,903 ratings","77,147 reviews","Ray Bradbury2,382 books23.3k followers"
GenresClassicsFictionYoung AdultLiteratureSchoolComing Of AgeNovels ...more,"First published July 16, 1951",J.D. Salinger,The Catcher in the Rye,3.80,"3,601,118 ratings","88,587 reviews",J.D. Salinger209 books15.3k followers
GenresFantasyFictionYoung AdultChildrensClassicsMiddle GradeAdventure ...more,"First published October 16, 1950",C.S. Lewis,"The Lion, the Witch and the Wardrobe",4.24,"2,864,233 ratings","34,807 reviews","C.S. Lewis1,121 books43.6k followers"
GenresFictionMagical RealismLiteratureFantasyHistorical FictionNovelsSpanish Literature ...more,"First published January 1, 1967",Gabriel García Márquez,One Hundred Years of Solitude,4.12,"995,079 ratings","48,253 reviews",Gabriel García Márquez839 books37.7k followers
GenresClassicsFictionScience FictionDystopiaLiteratureNovelsSchool ...more,"First published January 1, 1932",Aldous Huxley,Brave New World,3.99,"1,899,062 ratings","50,075 reviews",Aldous Huxley826 books12.5k followers
GenresHistorical FictionFictionRomanceClassicsHistoricalLiteratureWar ...more,"First published June 30, 1936",Margaret Mitchell,Gone with the Wind,4.31,"1,218,127 ratings","24,872 reviews","Margaret Mitchell131 books2,950 followers"
