Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Fiction,Classics,Literature,Novels,Literary,Fiction,American,Historical Fiction,...more",1964-01-01,Ken Kesey,Sometimes a Great Notion,4.26,22743.0,1566.0,70.0,2713.0
"History,Nonfiction,Classics,Russia,Politics,Biography,Russian,Literature,...more",1973-01-01,Aleksandr Solzhenitsyn,The Gulag Archipelago 1918–1956,4.32,31212.0,2320.0,444.0,3706.0
"Fiction,Classics,Historical Fiction,Literature,Novels,Egypt,Africa,...more",1960-01-01,Lawrence Durrell,The Alexandria Quartet,4.18,11995.0,530.0,205.0,832.0
"Fiction,Magical,Realism,Literary,Fiction,Historical Fiction,Contemporary,Fantasy,Literature,...more",1984-01-01,Keri Hulme,The Bone People,4.04,22849.0,2196.0,15.0,287.0
"Classics,Fiction,Literature,Adult,Historical Fiction,Literary,Fiction,Essays,...more",1997-09-01,Nicolas Tredell,F. Scott Fitzgerald: The Great Gatsby,3.81,3269.0,70.0,39.0,4.0
"Poetry,Classics,Fiction,American,Literature20th,Century,The,United,States,Of,America,...more",1923-01-01,E.E. Cummings,100 Selected Poems,4.29,29035.0,671.0,273.0,3903.0
"Fiction,Classics,Historical Fiction,Politics,Literature,Russia,Novels,...more",1940-01-01,Arthur Koestler,Darkness at Noon,4.11,31235.0,2180.0,159.0,859.0
"Historical Fiction,Fiction,Classics,France,Historical Philosophy,French,Literature,...more",1951-01-01,Marguerite Yourcenar,Memoirs of Hadrian,4.23,31071.0,2841.0,203.0,1460.0
"Fiction,Historical Fiction,Baseball,Sports,Novels,Literary,Fiction,Family,...more",1992-01-01,David James Duncan,The Brothers K,4.39,16151.0,2131.0,25.0,622.0
"Fiction,Classics,Short,Stories,Literature,American,Literary,Fiction20th,Century,...more",1919-05-08,Sherwood Anderson,"Winesburg, Ohio",3.84,35233.0,2937.0,467.0,566.0
"Fiction,Short,Stories,Classics,Nature,Literature,Historical Fiction,Westerns,...more",1976-01-01,Norman Maclean,A River Runs Through It and Other Stories,4.18,28029.0,2085.0,57.0,376.0
"Fantasy,Fiction,Classics,Gothic,Horror,Novels,Literature,...more",1959-01-01,Mervyn Peake,The Gormenghast Novels,4.02,9574.0,742.0,104.0,1049.0
"Feminism,Nonfiction,Classics,History,Womens,Philosophy,Sociology,...more",1963-02-19,Betty Friedan,The Feminine Mystique,3.87,28865.0,2177.0,33.0,529.0
"Fiction,Ireland,Irish,Literature,Classics,Fantasy,Humor,Novels,...more",1967-01-01,Flann O'Brien,The Third Policeman,3.97,20924.0,2430.0,49.0,765.0
"Fiction,Classics,Philosophy,Literature,German,Literature,Novels,Historical Fiction,...more",1930-01-01,Robert Musil,The Man Without Qualities,4.19,6855.0,488.0,255.0,1184.0
"Fiction,Historical Fiction,Classics,War,World,War,I,I,Military,Fiction,Literature,...more",1951-03-19,Herman Wouk,The Caine Mutiny,4.28,25628.0,1326.0,112.0,1191.0
"Fiction,Classics,Historical Fiction,Literature,Novels,American,Literary,Fiction,...more",1927-01-01,Thornton Wilder,The Bridge of San Luis Rey,3.79,35827.0,2805.0,173.0,464.0
"Fiction,Historical Fiction,Classics,Horror,War,Literature,Holocaust,...more",1965-01-01,Jerzy Kosiński,The Painted Bird,3.91,26924.0,2179.0,55.0,565.0
"Fiction,Historical Fiction,Classics,Literature,Nobel,Prize,Historical Novels,...more",1945-01-01,Ivo Andrić,The Bridge on the Drina,4.33,22287.0,1734.0,254.0,1167.0
"Fiction,Classics,Czech,Literature,Humor,War,Historical Fiction,Literature,...more",1921-03-01,Jaroslav Hašek,The Good Soldier Švejk,4.09,19175.0,1366.0,285.0,282.0
"Fiction,Canada,Classics,Historical Fiction,Literature,Literary,Fiction,Novels,...more",1970-01-01,Robertson Davies,Fifth Business,4.06,19569.0,1409.0,163.0,858.0
"Fiction,Poetry,Classics,Short,Stories,Literature,Novels,American,...more",1967-01-01,Richard Brautigan,Trout Fishing in America,3.76,15617.0,1366.0,144.0,2064.0
