Genre,Publication Date,Author,Title,Rating,Ratings Count,Reviews Count,Auth_Books,Auth_Followers
"Fiction,Classics,Literature,Novels,Literary,Fiction,American,Historical Fiction,more",1964-01-01,Ken Kesey,Sometimes Great Notion,4.26,22743,1566,70.0,2713.0
"History,Nonfiction,Classics,Russia,Politics,Biography,Russian,Literature,more",1973-01-01,Aleksandr Solzhenitsyn,The Gulag Archipelago,4.32,31212,2320,444.0,3706.0
"Fiction,Classics,Historical Fiction,Literature,Novels,Egypt,Africa,more",1960-01-01,Lawrence Durrell,The Alexandria Quartet,4.18,11995,530,205.0,832.0
"Classics,Fiction,Literature,Historical Fiction,American,Novels,Banned,Books,more",1925-12-17,Theodore Dreiser,American Tragedy,3.96,37330,1693,495.0,846.0
"Fiction,Magical,Realism,Literary,Fiction,Historical Fiction,Contemporary,Fantasy,Literature,more",1984-01-01,Keri Hulme,The Bone People,4.04,22849,2196,15.0,287.0
"Classics,Fiction,Literature,Adult,Historical Fiction,Literary,Fiction,Essays,more",1997-09-01,Nicolas Tredell,Scott Fitzgerald The Great Gatsby,3.81,3269,70,39.0,4.0
"Poetry,Classics,Fiction,American,Literatureth,Century,The,United,States,Of,America,more",1923-01-01,Cummings,Selected Poems,4.29,29035,671,273.0,3903.0
"Fiction,Classics,Historical Fiction,Politics,Literature,Russia,Novels,more",1940-01-01,Arthur Koestler,Darkness Noon,4.11,31235,2180,159.0,859.0
"Historical Fiction,Fiction,Classics,France,Historical Philosophy,French,Literature,more",1951-01-01,Marguerite Yourcenar,Memoirs Hadrian,4.23,31071,2841,203.0,1460.0
"Fiction,Historical Fiction,Baseball,Sports,Novels,Literary,Fiction,Family,more",1992-01-01,David James Duncan,The Brothers,4.39,16151,2131,25.0,622.0
"Fiction,Classics,Short,Stories,Literature,American,Literary,Fictionth,Century,more",1919-05-08,Sherwood Anderson,Winesburg Ohio,3.84,35233,2937,467.0,566.0
"Fiction,Short,Stories,Classics,Nature,Literature,Historical Fiction,Westerns,more",1976-01-01,Norman Maclean,River Runs Through and Other Stories,4.18,28029,2085,57.0,376.0
"Fantasy,Fiction,Classics,Gothic,Horror,Novels,Literature,more",1959-01-01,Mervyn Peake,The Gormenghast Novels,4.02,9574,742,104.0,1049.0
"Feminism,Nonfiction,Classics,History,Womens,Philosophy,Sociology,more",1963-02-19,Betty Friedan,The Feminine Mystique,3.87,28865,2177,33.0,529.0
"Fiction,Ireland,Irish,Literature,Classics,Fantasy,Humor,Novels,more",1967-01-01,Flann Brien,The Third Policeman,3.97,20924,2430,49.0,765.0
"Fiction,Classics,Philosophy,Literature,German,Literature,Novels,Historical Fiction,more",1930-01-01,Robert Musil,The Man Without Qualities,4.19,6855,488,255.0,1184.0
"Fiction,Historical Fiction,Classics,War,World,War,I,I,Military,Fiction,Literature,more",1951-03-19,Herman Wouk,The Caine Mutiny,4.28,25628,1326,112.0,1191.0
"Fiction,Classics,Historical Fiction,Literature,Novels,American,Literary,Fiction,more",1927-01-01,Thornton Wilder,The Bridge San Luis Rey,3.79,35827,2805,173.0,464.0
"Fiction,Historical Fiction,Classics,Horror,War,Literature,Holocaust,more",1965-01-01,Jerzy Kosi ski,The Painted Bird,3.91,26924,2179,55.0,565.0
"Fiction,Historical Fiction,Classics,Literature,Nobel,Prize,Historical Novels,more",1945-01-01,Ivo Andri,The Bridge the Drina,4.33,22287,1734,254.0,1167.0
